,feelslike,tempmax,humidity,tempmin,temp_lag_1,effective_solar
0,25.9,31.6,58.9,21.0,26.0,7.0925925925925934
1,25.9,33.0,56.0,19.4,25.9,9.427007299270073
2,26.8,33.6,59.1,20.0,26.2,7.978915662650601
3,27.1,33.0,63.0,22.6,26.8,5.826086956521739
4,26.6,33.0,60.8,22.0,26.8,4.849523809523809
5,26.4,33.4,55.0,21.0,26.6,10.861788617886178
6,25.3,31.6,57.4,19.6,26.5,12.902325581395347
7,25.2,31.4,64.3,20.6,25.4,8.125766871165643
8,25.5,32.0,59.8,20.0,25.1,10.763779527559056
9,25.2,32.0,60.4,19.0,25.6,11.840182648401829
10,24.9,30.6,58.5,19.6,25.4,6.893506493506493
11,25.2,31.4,59.2,20.0,24.9,9.310606060606062
12,25.6,32.4,56.5,21.0,25.2,25.85981308411215
13,25.4,32.0,60.9,20.0,25.8,14.566037735849056
14,25.7,30.9,60.0,22.0,25.4,8.190972222222221
15,26.0,31.6,68.1,21.9,25.7,6.210900473933649
16,26.9,32.4,67.7,22.9,25.7,5.46
17,27.0,32.4,64.1,23.0,26.4,6.24941724941725
18,28.3,34.6,65.6,22.0,26.7,6.136792452830188
19,28.8,32.4,61.9,25.0,27.4,4.782608695652174
20,28.9,33.6,61.4,24.0,27.9,4.365942028985507
21,28.5,32.5,65.5,25.0,28.1,5.909090909090909
22,28.6,33.0,66.7,24.0,27.7,4.968287526427061
23,29.3,32.4,68.4,25.0,27.6,3.5443686006825934
24,29.0,32.0,68.8,24.9,27.9,4.022869022869023
25,27.3,30.0,69.8,24.9,27.7,4.0764462809917354
26,28.2,33.6,67.1,23.9,26.6,7.542234332425068
27,30.5,34.9,65.1,24.5,27.5,5.774818401937046
28,30.8,33.8,66.3,26.0,28.9,5.553658536585366
29,31.2,35.6,60.8,25.9,28.8,7.59090909090909
30,29.1,34.0,63.6,24.4,29.4,6.279816513761468
31,29.0,32.0,66.1,24.9,28.2,6.517948717948718
32,29.6,32.6,67.0,25.8,27.9,4.6900826446281
33,29.6,33.4,64.7,26.0,28.2,7.216284987277355
34,30.2,34.4,65.9,25.0,28.5,8.860759493670885
35,29.9,34.0,64.9,25.4,28.7,6.220843672456576
36,29.9,34.0,56.0,26.0,28.6,8.19756838905775
37,30.2,34.9,61.1,25.0,29.1,6.443127962085307
38,30.0,35.0,58.3,25.0,28.9,8.63888888888889
39,28.7,35.6,52.9,23.6,29.1,9.218844984802432
40,29.3,34.2,58.0,23.6,28.5,7.852054794520549
41,30.3,34.2,57.3,25.9,28.5,4.2972085385878485
42,30.7,34.4,62.2,26.0,29.2,7.408163265306123
43,30.1,32.6,65.8,25.9,29.1,5.407925407925408
44,29.4,32.6,66.5,25.0,28.5,7.845201238390094
