datetime,temp
2015-01-31,25.9
2015-02-01,26.2
2015-02-02,26.8
2015-02-03,26.8
2015-02-04,26.6
2015-02-05,26.5
2015-02-06,25.4
2015-02-07,25.1
2015-02-08,25.6
2015-02-09,25.4
2015-02-10,24.9
2015-02-11,25.2
2015-02-12,25.8
2015-02-13,25.4
2015-02-14,25.7
2015-02-15,25.7
2015-02-16,26.4
2015-02-17,26.7
2015-02-18,27.4
2015-02-19,27.9
2015-02-20,28.1
2015-02-21,27.7
2015-02-22,27.6
2015-02-23,27.9
2015-02-24,27.7
2015-02-25,26.6
2015-02-26,27.5
2015-02-27,28.9
2015-02-28,28.8
2015-03-01,29.4
2015-03-02,28.2
2015-03-03,27.9
2015-03-04,28.2
2015-03-05,28.5
2015-03-06,28.7
2015-03-07,28.6
2015-03-08,29.1
2015-03-09,28.9
2015-03-10,29.1
2015-03-11,28.5
2015-03-12,28.5
2015-03-13,29.2
2015-03-14,29.1
2015-03-15,28.5
2015-03-16,28.1
2015-03-17,27.9
2015-03-18,27.7
2015-03-19,28.5
2015-03-20,28.2
2015-03-21,28.6
2015-03-22,28.7
2015-03-23,29.1
2015-03-24,29.6
2015-03-25,30.3
2015-03-26,30.3
2015-03-27,30.5
2015-03-28,30.4
2015-03-29,30.2
2015-03-30,29.4
2015-03-31,29.4
2015-04-01,29.2
2015-04-02,29.6
2015-04-03,29.7
2015-04-04,29.8
2015-04-05,29.3
2015-04-06,29.6
2015-04-07,30.1
2015-04-08,30.4
2015-04-09,30.5
2015-04-10,30.3
2015-04-11,30.5
2015-04-12,29.3
2015-04-13,27.1
2015-04-14,29.1
2015-04-15,29.6
2015-04-16,29.3
2015-04-17,29.5
2015-04-18,29.7
2015-04-19,30.3
2015-04-20,30.5
2015-04-21,30.9
2015-04-22,30.8
2015-04-23,29.2
2015-04-24,29.7
2015-04-25,30.3
2015-04-26,30.6
2015-04-27,30.4
2015-04-28,29.6
2015-04-29,29.9
2015-04-30,30.1
2015-05-01,30.6
2015-05-02,30.8
2015-05-03,30.3
2015-05-04,31.1
2015-05-05,30.9
2015-05-06,30.9
2015-05-07,30.6
2015-05-08,30.5
2015-05-09,29.5
2015-05-10,31.2
2015-05-11,31.1
2015-05-12,29.3
2015-05-13,29.9
2015-05-14,30.5
2015-05-15,30.3
2015-05-16,30.6
2015-05-17,30.1
2015-05-18,31.0
2015-05-19,31.6
2015-05-20,30.2
2015-05-21,30.9
2015-05-22,29.7
2015-05-23,30.3
2015-05-24,30.4
2015-05-25,30.0
2015-05-26,29.7
2015-05-27,30.7
2015-05-28,30.0
2015-05-29,29.8
2015-05-30,29.0
2015-05-31,29.6
2015-06-01,30.1
2015-06-02,29.8
2015-06-03,29.8
2015-06-04,30.1
2015-06-05,30.7
2015-06-06,30.0
2015-06-07,29.8
2015-06-08,30.5
2015-06-09,29.5
2015-06-10,30.0
2015-06-11,30.7
2015-06-12,29.1
2015-06-13,28.7
2015-06-14,28.6
2015-06-15,27.2
2015-06-16,26.6
2015-06-17,27.1
2015-06-18,27.9
2015-06-19,27.3
2015-06-20,26.4
2015-06-21,26.7
2015-06-22,27.8
2015-06-23,28.0
2015-06-24,26.3
2015-06-25,27.4
2015-06-26,27.8
2015-06-27,28.8
2015-06-28,29.5
2015-06-29,29.5
2015-06-30,28.7
2015-07-01,28.8
2015-07-02,29.5
2015-07-03,28.9
2015-07-04,29.0
2015-07-05,29.0
2015-07-06,28.9
2015-07-07,29.1
2015-07-08,29.4
2015-07-09,28.8
2015-07-10,27.5
2015-07-11,29.4
2015-07-12,28.9
2015-07-13,28.1
2015-07-14,28.7
2015-07-15,28.0
2015-07-16,28.2
2015-07-17,28.4
2015-07-18,28.4
2015-07-19,25.8
2015-07-20,28.7
2015-07-21,28.2
2015-07-22,29.6
2015-07-23,29.0
2015-07-24,30.4
2015-07-25,28.8
2015-07-26,29.5
2015-07-27,29.7
2015-07-28,28.2
2015-07-29,27.3
2015-07-30,26.6
2015-07-31,28.3
2015-08-01,28.1
2015-08-02,28.4
2015-08-03,29.0
2015-08-04,29.1
2015-08-05,28.2
2015-08-06,28.7
2015-08-07,28.8
2015-08-08,28.0
2015-08-09,27.1
2015-08-10,27.5
2015-08-11,28.5
2015-08-12,29.1
2015-08-13,29.2
2015-08-14,28.5
2015-08-15,28.1
2015-08-16,28.1
2015-08-17,28.5
2015-08-18,29.0
2015-08-19,29.0
2015-08-20,28.8
2015-08-21,28.5
2015-08-22,29.3
2015-08-23,28.5
2015-08-24,28.4
2015-08-25,26.8
2015-08-26,27.9
2015-08-27,28.9
2015-08-28,29.0
2015-08-29,29.1
2015-08-30,29.7
2015-08-31,29.4
2015-09-01,28.6
2015-09-02,28.3
2015-09-03,29.8
2015-09-04,28.7
2015-09-05,29.4
2015-09-06,30.3
2015-09-07,30.4
2015-09-08,27.3
2015-09-09,25.8
2015-09-10,27.4
2015-09-11,28.2
2015-09-12,27.8
2015-09-13,27.5
2015-09-14,27.0
2015-09-15,26.5
2015-09-16,25.6
2015-09-17,26.8
2015-09-18,28.4
2015-09-19,27.8
2015-09-20,28.9
2015-09-21,27.8
2015-09-22,28.5
2015-09-23,29.1
2015-09-24,29.2
2015-09-25,28.9
2015-09-26,29.0
2015-09-27,28.5
2015-09-28,27.4
2015-09-29,28.2
2015-09-30,29.3
2015-10-01,29.8
2015-10-02,29.0
2015-10-03,27.8
2015-10-04,27.6
2015-10-05,28.4
2015-10-06,29.2
2015-10-07,28.0
2015-10-08,28.1
2015-10-09,26.5
2015-10-10,27.6
2015-10-11,28.9
2015-10-12,28.1
2015-10-13,28.3
2015-10-14,27.8
2015-10-15,26.7
2015-10-16,27.4
2015-10-17,28.5
2015-10-18,28.0
2015-10-19,28.7
2015-10-20,28.3
2015-10-21,27.7
2015-10-22,28.0
2015-10-23,26.7
2015-10-24,28.1
2015-10-25,29.3
2015-10-26,29.2
2015-10-27,29.2
2015-10-28,29.3
2015-10-29,29.7
2015-10-30,29.3
2015-10-31,29.0
2015-11-01,28.0
2015-11-02,27.4
2015-11-03,27.3
2015-11-04,27.6
2015-11-05,26.3
2015-11-06,28.1
2015-11-07,28.8
2015-11-08,27.9
2015-11-09,28.6
2015-11-10,29.2
2015-11-11,29.0
2015-11-12,29.1
2015-11-13,29.1
2015-11-14,29.2
2015-11-15,29.4
2015-11-16,29.5
2015-11-17,29.6
2015-11-18,29.6
2015-11-19,29.9
2015-11-20,29.6
2015-11-21,29.0
2015-11-22,27.2
2015-11-23,28.6
2015-11-24,28.5
2015-11-25,28.2
2015-11-26,28.5
2015-11-27,28.3
2015-11-28,28.7
2015-11-29,28.8
2015-11-30,28.8
2015-12-01,28.7
2015-12-02,28.6
2015-12-03,29.6
2015-12-04,29.1
2015-12-05,28.4
2015-12-06,29.3
2015-12-07,28.7
2015-12-08,28.9
2015-12-09,29.2
2015-12-10,29.5
2015-12-11,29.0
2015-12-12,29.2
2015-12-13,29.0
2015-12-14,28.8
2015-12-15,28.9
2015-12-16,27.2
2015-12-17,27.3
2015-12-18,26.5
2015-12-19,26.5
2015-12-20,25.4
2015-12-21,26.2
2015-12-22,27.0
2015-12-23,28.3
2015-12-24,28.3
2015-12-25,28.7
2015-12-26,28.5
2015-12-27,28.8
2015-12-28,27.8
2015-12-29,27.7
2015-12-30,27.8
2015-12-31,28.2
2016-01-01,27.8
2016-01-02,28.2
2016-01-03,27.7
2016-01-04,28.7
2016-01-05,28.5
2016-01-06,28.2
2016-01-07,28.6
2016-01-08,28.2
2016-01-09,28.1
2016-01-10,28.3
2016-01-11,28.4
2016-01-12,28.1
2016-01-13,28.7
2016-01-14,29.2
2016-01-15,29.0
2016-01-16,28.4
2016-01-17,28.2
2016-01-18,28.5
2016-01-19,29.1
2016-01-20,29.5
2016-01-21,29.1
2016-01-22,28.9
2016-01-23,29.0
2016-01-24,28.6
2016-01-25,26.8
2016-01-26,26.6
2016-01-27,28.6
2016-01-28,28.9
2016-01-29,29.1
2016-01-30,29.5
2016-01-31,29.6
2016-02-01,29.7
2016-02-02,28.8
2016-02-03,28.9
2016-02-04,28.8
2016-02-05,28.6
2016-02-06,27.7
2016-02-07,25.4
2016-02-08,24.1
2016-02-09,25.6
2016-02-10,27.4
2016-02-11,27.8
2016-02-12,28.2
2016-02-13,28.4
2016-02-14,28.4
2016-02-15,28.8
2016-02-16,28.6
2016-02-17,28.3
2016-02-18,28.2
2016-02-19,28.5
2016-02-20,28.1
2016-02-21,27.6
2016-02-22,28.1
2016-02-23,28.1
2016-02-24,28.9
2016-02-25,28.3
2016-02-26,28.1
2016-02-27,28.8
2016-02-28,28.6
2016-02-29,28.1
2016-03-01,27.9
2016-03-02,28.2
2016-03-03,28.1
2016-03-04,28.5
2016-03-05,28.5
2016-03-06,28.5
2016-03-07,28.4
2016-03-08,27.9
2016-03-09,28.4
2016-03-10,28.4
2016-03-11,28.9
2016-03-12,29.4
2016-03-13,29.0
2016-03-14,28.6
2016-03-15,29.1
2016-03-16,28.7
2016-03-17,28.1
2016-03-18,28.3
2016-03-19,28.6
2016-03-20,29.1
2016-03-21,29.2
2016-03-22,29.1
2016-03-23,29.2
2016-03-24,29.3
